book_id,title,author,genres,tags,length,year,description
47,Jonathan Strange and Mr Norrell,Susanna Clarke,fantasy,magic|historical|prose|rivalry|england,long,2004,"Two very different magicians revive English magic during the Napoleonic wars, in a witty, footnoted, beautifully written epic of rivalry and faerie."
48,Uprooted,Naomi Novik,fantasy,magic|fairy tale|forest|coming of age|romance,medium,2015,"A village girl is taken by a cold wizard to help fight a corrupted, malevolent forest, discovering her own wild magic in a lush standalone fairy tale."
49,The Fifth Season,N.K. Jemisin,fantasy,magic|apocalypse|epic|oppression|earth,long,2015,"On a world wracked by world-ending catastrophes, people who can command the earth are feared and enslaved, in a furious, inventive epic told in braided timelines."
50,The Priory of the Orange Tree,Samantha Shannon,fantasy|epic,dragons|magic|queens|war|epic,long,2019,"Across rival realms a queen without an heir, a dragon-riding warrior and a hidden mage race to stop an ancient wyrm from waking, in a sprawling standalone epic."
51,The Blade Itself,Joe Abercrombie,fantasy,grimdark|war|morally grey|magic|battle,long,2006,"A crippled torturer, a vain swordsman and a barbarian are pulled into a wizard's schemes in a gritty, cynical and darkly funny take on epic fantasy."
52,Big Little Lies,Liane Moriarty,thriller|mystery,suspense|secrets|domestic|twist|community,medium,2014,"Three mothers in a seaside town are drawn together by secrets and lies that build toward a death at a school fundraiser, a sharp domestic suspense with a final twist."
53,The Woman in the Window,A.J. Finn,thriller|mystery,psychological|unreliable|twist|isolation|suspense,medium,2018,"An agoraphobic woman who watches her neighbors believes she has witnessed a crime, but her drinking and unreliable memory make the truth a slippery, twisting puzzle."
54,Sharp Objects,Gillian Flynn,thriller|mystery,psychological|dark|family|crime|twist,medium,2006,"A troubled reporter returns to her hometown to cover the murders of two girls and confronts her own toxic family, a dark, disturbing psychological thriller with a twist."
55,The Thursday Murder Club,Richard Osman,mystery,cozy|whodunit|elderly|humor|warm,medium,2020,"Four retirees in a peaceful village meet weekly to investigate cold cases until a real killing lands on their doorstep, a warm, witty and cozy whodunit."
56,The Maid,Nita Prose,mystery,cozy|whodunit|quirky|hotel|warm,short,2022,"A socially awkward hotel maid becomes the prime suspect when she discovers a guest dead in his suite, a charming, cozy and quirky locked-room mystery."
57,Pachinko,Min Jin Lee,literary fiction,historical|family|korea|japan|saga,long,2017,"A sweeping multigenerational saga follows a Korean family enduring poverty, war and prejudice across decades in Japan, a rich and sorrowful historical epic."
58,The Remains of the Day,Kazuo Ishiguro,literary fiction,prose|regret|england|quiet|emotional,medium,1989,"An aging English butler reflects on a life of dignified service and the love he never allowed himself, a quiet, restrained and deeply moving meditation on regret."
59,Stoner,John Williams,literary fiction,quiet|academia|sad|prose|life,medium,1965,"The unremarkable life of a Midwestern university professor unfolds with quiet grace and accumulating sorrow, a plain, beautiful and profoundly moving novel."
60,A Gentleman in Moscow,Amor Towles,literary fiction,warm|historical|russia|charming|elegant,long,2016,"A count sentenced to permanent house arrest in a grand Moscow hotel builds an unexpectedly rich and warm life across decades of upheaval, an elegant and charming tale."
61,Kafka on the Shore,Haruki Murakami,literary fiction,japan|surreal|dreamlike|prose|magical,long,2002,"A runaway teenager and an old man who talks to cats move through an eerie, dreamlike Japan where reality bends, a surreal and hypnotic modern fable."
62,The Wind-Up Bird Chronicle,Haruki Murakami,literary fiction,japan|surreal|dreamlike|mystery|prose,long,1994,"An ordinary Tokyo man searching for his wife's missing cat is drawn into a strange, dreamlike labyrinth of war memories and hidden wells, a surreal and haunting epic."
63,Norwegian Wood,Haruki Murakami,literary fiction,japan|romance|sad|nostalgia|prose,medium,1987,"A man recalls his student years in Tokyo and the two women who shaped a season of love, loss and grief, a tender, nostalgic and melancholy coming-of-age."
64,The Long Way to a Small Angry Planet,Becky Chambers,science fiction|space opera,cozy|found family|warm|aliens|gentle,medium,2014,"The diverse crew of an aging tunneling ship take a long job across the galaxy, in a warm, low-stakes and gentle space opera about found family and belonging."
